lang,family,subfamily,usable?,grandmother/father/son/daughter,in-laws,older sister/brother,mother's/father's siblings,stepmother/father/son/daughter
Abkhazian,Northwest Caucasian,,0,,,,,
Acehnese,Austronesian,,0,,,,,
Adyghe,Northwest Caucasian,,0,,,,,
Afrikaans,Indo-European,Germanic,1,k-b,b-k,k-b,null,k-b
Aguaruna,Jivaroan,,1,null,b-k,b-k,null,
Akan,,,0,,,,,
Albanian,,,0,,,,,
Alemannic,,,0,,,,,
Amharic,,,0,,,,,
Ancient Greek,Indo-European,,0,,,,,
Anglo-Saxon,Indo-European,Germanic,1,k-b,null,null,null,null
Arabic,,,,,,,,
Arabic,,,0,,,,,
Aragonese,,,0,,,,,
Aramaic,,,0,,,,,
Araona,Pano-Tacanan,,0,,,,,
Armenian,,,0,,,,,
Armenian (Eastern Variety),Indo-European,,0,,,,,
Armenian (Western Variety),Indo-European,Armenian,1,null,null,null,k-b,
Aromanian,,,0,,,,,
Assamese,,,0,,,,,
Asturian,,,0,,,,,
Avar,,,0,,,,,
Avestan,Indo-European,,0,,,,,
Aymara,,,0,,,,,
Azerbaijani,,,0,,,,,
Bambara,,,0,,,,,
Banjar,,,0,,,,,
Banyumasan,,,0,,,,,
Bari,Nilo-Saharan,,0,,,,,
Bashkir,Altaic,Turkic,1,k-b,null,null,null,null
Basque,Isolate,Basque,1,k-b,null,b-k,k-b,
Basque,Isolate,Basque,1,null,b-k,b-k,null,b-k
Bavarian,,,0,,,,,
Belarusian,Indo-European,Balto-Slavic,1,null,null,k-b,null,null
Bengali,,,0,,,,,
Bhojpuri,,,0,,,,,
Bihari,,,0,,,,,
Bishnupriya Manipuri,,,0,,,,,
Bislama,,,0,,,,,
Boarisch,,,0,,,,,
Bokmal,Artificial,Bokmal,1,k-b,k-b,k-b,null,null
Bosnian,Indo-European,,1,null,null,k-b,null,null
Brazilian Portuguese,,,0,,,,,
Breton,Indo-European,Celtic,1,"b-k for grandson/daughter, k-b for grandmother",b-k,null,null,
Breton,Indo-European,Celtic,1,b-k,null,null,null,null
Buginese,,,0,,,,,
Bulgarian,Indo-European,Balto-Slavic,1,null,null,k-b,null,k-b
Bulgarian,Indo-European,,0,,,,,
Burmese,,,0,,,,,
Buryat,,,0,,,,,
Catalan,Indo-European,Italic,1,null,b-k,b-k,b-k,null
Catuquina,Harakmbut-Katukinan,,0,,,,,
Cayapa,Barbacoan,,0,,,,,
Cebuano,,,0,,,,,
Central Bicolano,,,0,,,,,
Central Kurdish,,,0,,,,,
Chacobo,Panoan,,0,,,,,
Chamorro,,,0,,,,,
Chatino,Oto-Manguean,,0,,,,,
Chechen,,,0,,,,,
Cherokee,,,0,,,,,
Cheyenne,,,0,,,,,
Chichewa,,,0,,,,,
Chipaya,Uru-Chipaya,,0,,,,,
Chuvash,,,0,,,,,
Classical Chinese,,,0,,,,,
Colorado,Barbacoan,,0,,,,,
Cornish,,,0,,,,,
Corsican,,,0,,,,,
Cree,,,0,,,,,
Crimean Tatar,,,0,,,,,
Croatian,Indo-European,Balto-Slavic,1,null,null,k-b,null,null
Czech,Indo-European,,0,,,,,
Danish,Indo-European,Germanic,1,k-b,k-b,k-b,k-b,
De'kwana,Cariban,,0,,,,,
Divehi,,,0,,,,,
Dutch,Indo-European,Germanic,1,k-b,k-b,k-b,b-k,k-b
Dutch Low Saxon,,,0,,,,,
Dzongkha,,,0,,,,,
Eastern Punjabi,,,0,,,,,
Egyptian Arabic,,,0,,,,,
Elamite,Isolate,,0,,,,,
Embera,Chocoan,,0,,,,,
Emilian-Romagnol,,,0,,,,,
English,Indo-European,Germanic,1,k-b,b-k,k-b,k-b,k-b
Epena,Chocoan,,0,,,,,
Erzya Mordvin,Uralic,,0,,,,,
Erzya Mordvin,,,0,,,,,
Esperanto,Artificial,Esperanto,1,null,k-b,k-b,null,k-b
Estonian,Uralic,Finnic,1,k-b,null,k-b,null,null
Ewe,Niger-Congo,Volta-Congo,1,k-b,null,null,null,null
Extremaduran,,,0,,,,,
Faroese,Indo-European,Germanic,1,k-b,k-b,null,null,k-b
Fiji Hindi,,,0,,,,,
Fijian,,,0,,,,,
Finnish,Uralic,,0,,,,,
Franco-Provencal,,,0,,,,,
French,Indo-European,Italic,1,k-b,k-b,k-b,b-k,k-b
Friulian,,,0,,,,,
Fula,,,0,,,,,
Gaguaz,,,0,,,,,
Galician,,,0,,,,,
Gan,,,0,,,,,
Georgian,Kartvelian,Karto-Zan,1,null,k-b,null,null,null
German,Indo-European,Germanic,1,k-b,k-b,k-b,null,k-b
Gilaki,,,0,,,,,
Goajiro,Arawakan,,0,,,,,
Goan Konkani,,,0,,,,,
Gothic,Indo-European,,0,,,,,
Gothic,,,0,,,,,
Greenlandic,,,0,,,,,
Guarani,,,0,,,,,
Gujarati,,,0,,,,,
Haitian,,,0,,,,,
Hakka,,,0,,,,,
Hausa,Afro-Asiatic,Chadic,1,null,null,b-k,null,b-k
Hausa,Afro-Asiatic,,0,,,,,
Hawaiian,Austronesian,,0,,,,,
Hawaiian,,,0,,,,,
Hebrew,Afro-Asiatic,Semitic,1,null,null,k-b,null,k-b
Hill Mari,,,0,,,,,
Hindi,Indo-European,Indo-Iranian,1,null,null,k-b,null,k-b
Hittite,Indo-European,,0,,,,,
Hungarian,Uralic,Hungarian,1,k-b,null,null,null,null
Icelandic,Indo-European,Germanic,1,null,b-k,k-b,k-b,k-b
Ido,Artificial,Ido,1,null,null,null,b-k,null
Igbo,,,0,,,,,
Ignaciano,Arawakan,,0,,,,,
Ilokano,,,0,,,,,
Indonesian,Austronesian,Malayo-Polynesian,1,null,null,null,null,b-k
Interlingua,Artificial,Interlingua,1,k-b,null,null,null,null
Interlingue,,,0,,,,,
Inuktitut,,,0,,,,,
Inupiak,,,0,,,,,
Irish,Indo-European,Celtic,1,k-b,null,null,null,null
Italian,Indo-European,Italic,1,null,b-k,b-k,k-b,null
Jamaican Creole,English Creole,Atlantic,1,k-b,null,null,null,null
Japanese,Japonic,Japanese,1,k-b,k-b,null,k-b,k-b
Javanese,Austronesian,Malayo-Polynesian,1,null,b-k,null,null,null
Kabardian Circassian,,,0,,,,,
Kabiye,,,0,,,,,
Kabyle,,,0,,,,,
Kalmyk,,,0,,,,,
Kannada,Dravidian,Southern Dravidian,1,k-b,null,null,null,null
Kapampangan,,,0,,,,,
Karachay-Balker,,,0,,,,,
Karakalpak,,,0,,,,,
Kashmiri,,,0,,,,,
Kashubian,,,0,,,,,
Kazakh,Turkic,Common Turkic,1,null,null,null,null,k-b
Khanty,Uralic,,0,,,,,
Khmer,Austroasiatic,Khmer,1,null,null,null,null,b-k
Kikuyu,,,0,,,,,
Kinyarwanda,,,0,,,,,
Kirghiz,Turkic,Common Turkic,1,k-b,null,null,null,k-b
Kirundi,,,0,,,,,
Komi,Uralic,,0,,,,,
Komi,,,0,,,,,
Komi-Permyak,,,0,,,,,
Kongo,,,0,,,,,
Korean,,,0,,,,,
Kurdish,,,0,,,,,
Kyrgyz,,,0,,,,,
Ladino,,,0,,,,,
Lak,,,0,,,,,
Lao,,,0,,,,,
Latgalian,,,0,,,,,
Latin,Indo-European,Italic,1,null,null,b-k,k-b,null
Latvian,Indo-European,Balto-Slavic,1,null,null,null,null,null
Latvian,Indo-European,Balto-Slavic,1,k-b,null,k-b,null,k-b
Lezgian,,,0,,,,,
Ligurian,,,0,,,,,
Limburgish,,,0,,,,,
Lingala,,,0,,,,,
Lingua Franca Nova,Artificial,Lingua Franca Nova,1,null,b-k,null,null,null
Lithuanian,Indo-European,Balto-Slavic,1,null,null,k-b,null,null
Livvinkarjala,,,0,,,,,
Lojban,,,0,,,,,
Lombard,,,0,,,,,
Low German,,,0,,,,,
Low Saxon,Indo-European,Germanic,1,k-b,null,null,null,null
Lower Sorbian,Indo-European,Balto-Slavic,1,k-b,k-b,null,null,null
Luganda,,,0,,,,,
Luxembourgish,Indo-European,Germanic,1,k-b,null,null,null,null
Macedonian,Indo-European,Balto-Slavic,1,null,null,k-b,b-k,null
Macushi,Cariban,,0,,,,,
Maithili,,,0,,,,,
Malagasy,,,0,,,,,
Malay,Austronesian,Malayo-Polynesian,1,null,b-k,null,null,b-k
Malayalam,Dravidian,Southern Dravidian,1,null,k-b,k-b,k-b,null
Maltese,,,0,,,,,
Mandarin,Sino-Tibetan,Sinitic,1,null,k-b,null,null,null
Mansi,Uralic,,0,,,,,
Manx,,,0,,,,,
Maori,Austronesian,Malayo-Polynesian,1,null,b-k,null,null,null
Marathi,,,0,null,null,null,null,null
Mari,Uralic,,0,,,,,
Marquesan,Austronesian,,0,,,,,
Mazandarani,,,0,,,,,
Meadow Mari,,,0,,,,,
Middle English,Indo-European,Germanic,1,k-b,b-k,k-b,null,k-b
Middle High German,Indo-European,Germanic,1,k-b,null,k-b,null,k-b
Min Dong,,,0,,,,,
Min Nan,,,0,,,,,
Minangkabau,,,0,,,,,
Mingrelian,,,0,,,,,
Mirandese,,,0,,,,,
Modern Greek,Indo-European,,0,,,,,
Moksha,,,0,,,,,
Moldovan,,,0,,,,,
Mongolian,Mongolic,Mongolian,1,null,k-b,null,null,k-b
Moseten,Moseten-Chonan,,0,,,,,
Muisca,Chibchan,,0,,,,,
Nahuatl,Uto-Aztecan,,0,,,,,
Nahuatl,,,0,,,,,
Nauruan,,,0,,,,,
Navajo,,,0,,,,,
Neapolitan,,,0,,,,,
Negerhollands,Dutch Creole,,0,,,,,
Nenets,Uralic,,0,,,,,
Nepali,,,0,,,,,
Newar,,,0,,,,,
Ninam,Yanomam,,0,,,,,
Norfolk,,,0,,,,,
Norman,,,0,,,,,
North Frisian,,,0,,,,,
Northern Haida,Isolate,,0,,,,,
Northern Luri,,,0,,,,,
Northern Saami,Uralic,,0,,,,,
Northern Sami,,,0,,,,,
Northern Sotho,,,0,,,,,
Norwegian,Indo-European,Germanic,1,null,k-b,k-b,null,k-b
Novial,,,0,,,,,
Nynorsk,Artificial,Nynorsk,1,k-b,k-b,null,null,null
Occitan,,,0,,,,,
Odia,Indo-European,Indo-Iranian,1,null,null,k-b,null,null
Old Church Slavonic,Indo-European,,0,,,,,
Old English,Indo-European,Germanic,1,b-k,null,k-b,null,null
Old High German,Indo-European,Germanic,1,null,null,null,null,k-b
Old Irish,Indo-European,Celtic,1,null,null,null,b-k,null
Old Norse,Indo-European,,0,,,,,
Old Prussian,Indo-European,,0,,,,,
Oriya,,,0,,,,,
Oromo,,,0,,,,,
Ossetian,,,0,,,,,
Paez,Paezan,,0,,,,,
Palatinate German,,,0,,,,,
Pali,,,0,,,,,
Panare,Cariban,,0,,,,,
Pangasinan,,,0,,,,,
Papiamentu,,,0,,,,,
Pashto,,,0,,,,,
Patois,,,0,,,,,
Pennsylvanian German,,,0,,,,,
Persian,Indo-European,Indo-Iranian,1,k-b,k-b,k-b,null,k-b
Persian,Indo-European,,0,,,,,
Picard,,,0,,,,,
Piedmontese,,,0,,,,,
Polci,Afro-Asiatic,,0,,,,,
Polish,Indo-European,Balto-Slavic,1,null,null,k-b,null,null
Pontic,,,0,,,,,
Portuguese,Indo-European,,0,,,,,
Puinave,,,0,,,,,
Punjabi,Indo-European,Indo-Iranian,1,null,null,null,null,k-b
Quechua,Yuman,Quechuan,1,k-b,null,null,null,null
Rapa Nui,Austronesian,,0,,,,,
Ripuarian,,,0,,,,,
Romani,Indo-European,Indo-Iranian,1,k-b,null,null,null,null
Romani,,,0,,,,,
Romanian,Indo-European,Italic,1,null,null,null,null,b-k
Romansh,,,0,,,,,
Russian ,Indo-European,,0,,,,,
Rusyn,,,0,,,,,
Sakha,,,0,,,,,
Samoan,,,0,,,,,
Samogitian,,,0,,,,,
Sango,,,0,,,,,
Sanskrit,Indo-European,,0,,,,,
Sanskrit,,,0,,,,,
Sardinian,,,0,,,,,
Saterland Frisian,,,0,,,,,
Scots,Indo-European,Germanic,1,k-b,k-b,null,null,null
Scottish Gaelic,Indo-European,Celtic,1,null,b-k,b-k,null,k-b
Selkup,Uralic,,0,,,,,
Serbian,Indo-European,Balto-Slavic,1,null,null,k-b,k-b,null
Serbo-Croatian,Indo-European,Balto-Slavic,1,null,null,k-b,null,null
Serbo-Croatian,Indo-European,Balto-Slavic,1,k-b,b-k,null,null,k-b
Seri,Hokan,,0,,,,,
Sesotho,,,0,,,,,
Shipibo-Conibo,Panoan,,0,,,,,
Shona,,,0,,,,,
Sicilian,,,0,,,,,
Silesian,,,0,,,,,
Sindhi,Indo-European,Indo-Iranian,1,null,null,b-k,null,null
Sinhalese,,,0,,,,,
Slovak,Indo-European,Balto-Slavic,1,null,null,k-b,null,k-b
Slovenian,Indo-European,Balto-Slavic,1,null,b-k,k-b,null,null
Somali,,,0,,,,,
Sorani,,,0,,,,,
South Azerbaijani,,,0,,,,,
Spanish,Indo-European,Italic,1,null,null,b-k,b-k,null
Sranan,,,0,,,,,
Sundanese,,,0,,,,,
Swahili,Niger-Congo,Atlantic-Congo,1,null,b-k,b-k,null,null
Swati,,,0,,,,,
Swedish,Indo-European,Germanic,1,null,null,k-b,k-b,k-b
Swiss High German,Indo-European,Germanic,1,k-b,null,null,null,null
Tacana,Tacanan,,0,,,,,
Tagalog,,,0,,,,,
Tahitian,,,0,,,,,
Tajik,Indo-European,Indo-Iranian,1,null,null,b-k,null,null
Tamil,Dravidian,Southern Dravidian,1,null,null,k-b,null,k-b
Tarantino,,,0,,,,,
Tatar,,,0,,,,,
Telugu,Dravidian,South-Central Dravidian,1,null,null,null,null,k-b
Tetum,,,0,,,,,
Thai,Kra-Dai,Tai,1,null,null,null,null,b-k
Tibetian,,,0,,,,,
Tigrinya,,,0,,,,,
Tlingit,Dene-Yeniseian,,0,,,,,
Tocharian A,Indo-European,,0,,,,,
Tocharian B,Indo-European,,0,,,,,
Tok Pisin,,,0,,,,,
Tongan,Austronesian,,0,,,,,
Tongan,,,0,,,,,
Trinitario,Arawakan,,0,,,,,
Tsimshian,Isolate,,0,,,,,
Tsonga,,,0,,,,,
Tswana,,,0,,,,,
Tulu,,,0,,,,,
Tumbuka,,,0,,,,,
Tunisian Arabic,,,0,,,,,
Turkish,Turkic,Common Turkic,1,null,b-k,null,null,null
Turkmen,,,0,,,,,
Tuvan,,,0,,,,,
Tuyuca,Tucanoan,,0,,,,,
Twi,,,0,,,,,
Udmurt,Uralic,,0,,,,,
Udmurt,,,0,,,,,
Ukranian,Indo-European,Balto-Slavic,1,null,null,k-b,null,null
Upper Sorbian,Indo-European,Balto-Slavic,1,null,null,null,null,k-b
Urdu,Indo-European,Indo-Iranian,1,null,null,b-k,null,b-k
Uyghur,,,0,,,,,
Uzbek,Turkic,Common Turkic,1,null,k-b,null,null,k-b
Venda,,,0,,,,,
Venetian,,,0,,,,,
Vepsian,,,0,,,,,
Vietnamese,Austroasiatic,Vietic,1,null,b-k,null,null,b-k
Volapuk,Artificial,Volapuk,1,k-b,k-b,null,k-b,null
Voro,Uralic,Finnic,1,k-b,null,null,null,null
Wai Wai,Cariban,,0,,,,,
Walloon,,,0,,,,,
Waray-Waray,,,0,,,,,
Waura,Arawakan,,0,,,,,
Welsh,Indo-European,Celtic,1,b-k,b-k,k-b,null,null
West Flemish,,,0,,,,,
West Frisian,Indo-European,Germanic,1,null,null,null,null,k-b
Western Punjabi,,,0,,,,,
Wolof,,,0,,,,,
Wu,,,0,,,,,
Xhosa,,,0,,,,,
