mother,mother
father,father
son,son
daughter,daughter
grandmother,grandmother
grandfather,grandfather
grandson,grandson
granddaughter,granddaughter
stepmother,stepmother
son-in-law,son-in-law
older sister,older sister
younger sister,younger sister
nephew,nephew
stepson,stepson
stepdaughter,stepdaughter
mother-in-law,mother-in-law
mother-in-law,mother-in-law
older brother,older brother
younger brother,younger brother
niece,niece
sister,sister
brother,brother
daughter-in-law,daughter-in-law
father-in-law,father-in-law,
mother's sister,mother's sister
mother's brother,mother's brother
father's sister,father's sister
father's brother,father's brother
stepfather,stepfather
brother-in-law,brother-in-law
sister-in-law,sister-in-law
