mother,mor
father,far
daughter,datter
grandmother,bedstemor
grandfather,bedstefar
granddaughter,datterdatter
stepmother,stedmor
father's brother,farbror
stepdaughter,steddatter
mother-in-law (of a man),svigermor
mother-in-law (of a woman),svigermor
older brother,storebror
younger brother,lillebror
niece,niece
brother,bror
daughter-in-law (of a woman),svigerdatter
daughter-in-law (of a man),svigerdatter
father-in-law (of a man),svigerfar
father-in-law (of a woman),svigerfar
mother's sister,moster
mother's brother,morbror
father's sister,faster
father's brother,farbror
