mother,mère
father,père
grandmother,grand-mère
grandfather,grand-père
brother,frère
sister,soeur
son,fils
daughter,fille
grandson,petit-fils
granddaughter,petite-fille
son-in-law,gendre
younger sister,soeur cadette
nephew,neveu
stepson,beau-fils
stepdaughter,belle-fille
daughter-in-law,belle-fille
younger brother,frère cadet
older sister,grande soeur
older brother,grand frère
mother's sister,soeur de la mère
mother's brother,frère de la mère
father's sister,la soeur du p�re
father's brother,le fr�re du p�re
mother-in-law,belle-m�re
father-in-law,beau-p�re
