mother,妈
mother_2,母
father_2,父
father,爸
older brother,哥
younger brother,弟
older sister,姐
younger sister,妹
grandfather (father's side),爷
grandmother (father's side),奶
son,儿子
daughter,女儿
father's older brother,伯
father's younger brother,叔叔
father's sister's husband,姑夫
mother's brother,舅
mother's brother's wife,舅母
father's older sister,姑妈
father's sister,姑
father's older sister,姑妈
father's younger sister,姑
father's older brother's wife,伯母
father's sibling's son (older),堂兄
father's sibling's son (younger),堂弟
father's sibling's daughter (older),堂姐
father's sibling's daughter (younger),堂妹
mother's sibling's son (older),表哥
mother's sibling's son (younger),表弟
mother's sibling's daughter (older),表姐
mother's sibling's daughter (younger),表妹
brother's son,姪子
sister's son,外甥
brother's daughter,姪女
sister's daughter,外甥女
husband's father,公
wife's father,岳父
husband's mother,婆婆
wife's mother,岳母
older sister's husband,姐夫
younger sister's husband,妹夫
older brother's wife,嫂子
younger brother's wife,弟妇
brother-in-law,姐夫
