mother,madre
father,padre
son,hijo
daughter,hija
grandmother,abuela
grandfather,abuelo
grandson,nieto
granddaughter,nieta
stepmother,madrastra
son-in-law,yerno
older sister,hermana mayor
younger sister,hermana menor
father's brother,hermano del padre
nephew,sobrino
stepson,entenado
stepdaughter,entenada
mother-in-law,suegra
older brother,hermano mayor
younger brother,hermano menor
niece,sobrina
sister,hermana
brother,hermano
daughter-in-law,nuera
father-in-law,suegro
mother's sister,hermana de la madre
mother's brother,hermano de la madre
father's sister,hermana del padre
father's brother,hermano del padre
