stepmother,ма́чаха
older sister,старэйшая_сястра
younger sister,малодшая_сястра
son,дзіця
mother's brother,вуек
father's brother,дзядзя
father-in-law,цесць
nephew,пляменнік/пляменніца
stepson,пасерб
stepdaughter,ма́чаха
older brother,старэйшы_брат
father,Бог_Айцец
grandmother,бабу́ля
niece,пляменнік/пляменніца
daughter-in-law,няве́стка
granddaughter,пра́ўнучка
mother's sister,not found
sister,Sister
daughter,дзіця
son-in-law,зяць
grandson,унук
brother,брацiшак
grandfather,дзед
father's sister,цёця
mother,mother
stepfather,ма́чаха
