older sister,older sister
son's son,son's son
younger sister,younger sister
son,son
younger brother,younger brother
father's older brother,father's older brother
son's daughter,son's daughter
mother's older brother,mother's older brother
mother's younger brother,mother's younger brother
father's younger brother,father's older brother
older brother,older brother
older brother's daughter,older brother's daughter
mother's older sister,mother's older sister
mother's younger sister,mother's younger sister
older sister's son,older sister's son
father's older sister,father's older sister
father,father
older brother's son,older brother's son
paternal grandfather,paternal grandfather
father's younger sister,father's younger sister
maternal grandfather,maternal grandfather
younger brother's daughter,younger brother's daughter
younger sister's daughter,younger sister's daughter
paternal grandmother,paternal grandmother
daughter,daughter
mother's younger brother,mother's younger brother
daughter's daughter,daughter's daughter
daughter's son,daughter's son
younger sister's son,younger sister's son
mother,mother
maternal grandmother,maternal grandmother
younger brother's son,younger brother's son
older sister's daughter,older sister's daughter
