mother,432
father,438
daughter,131
son,146
younger sister,39
younger brother,51
older sister,39
sister,78
brother,102
older brother,51
maternal grandmother,21
paternal grandmother,21
maternal grandfather,16
paternal grandfather,16
grandmother,42
grandfather,16
daughter's daughter,2
son's daughter,2
daughter's son,3
son's son,3
older sister's daughter,1
younger sister's daughter,1
older brother's daughter,1
younger brother's daughter,1
older sister's son,1.2
younger sister's son,1.2
older brother's son,1.2
younger brother's son,1.2
mother's older sister,5
mother's younger sister,5
father's older sister,5
father's younger sister,5
mother's older brother,7
mother's younger brother,7
father's older brother,7
father's younger brother,7
