Number,Reading
1,one
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
10,ten
11,eleven
12,twelve
13,thir-teen
14,four-teen
15,fif-teen
16,six-teen
17,seven-teen
18,eigh-teen
19,nine-teen
20,twenty
21,twenty-one
22,twenty-two
23,twenty-three
24,twenty-four
25,twenty-five
26,twenty-six
27,twenty-seven
28,twenty-eight
29,twenty-nine
30,thirty
31,thirty-one
32,thirty-two
33,thirty-three
34,thirty-four
35,thirty-five
36,thirty-six
37,thirty-seven
38,thirty-eight
39,thirty-nine
40,fourty
41,fourty-one
42,fourty-two
43,fourty-three
44,fourty-four
45,fourty-five
46,fourty-six
47,fourty-seven
48,fourty-eight
49,fourty-nine
50,fifty
51,fifty-one
52,fifty-two
53,fifty-three
54,fifty-four
55,fifty-five
56,fifty-six
57,fifty-seven
58,fifty-eight
59,fifty-nine
60,sixty
61,sixty-one
62,sixty-two
63,sixty-three
64,sixty-four
65,sixty-five
66,sixty-six
67,sixty-seven
68,sixty-eight
69,sixty-nine
70,seventy
71,seventy-one
72,seventy-two
73,seventy-three
74,seventy-four
75,seventy-five
76,seventy-six
77,seventy-seven
78,seventy-eight
79,seventy-nine
80,eighty
81,eighty-one
82,eighty-two
83,eighty-three
84,eighty-four
85,eighty-five
86,eighty-six
87,eighty-seven
88,eighty-eight
89,eighty-nine
90,ninety
91,ninety-one
92,ninety-two
93,ninety-three
94,ninety-four
95,ninety-five
96,ninety-six
97,ninety-seven
98,ninety-eight
99,ninety-nine
100,onehundred
101,onehundred-and-one
102,onehundred-and-two
103,onehundred-and-three
104,onehundred-and-four
105,onehundred-and-five
106,onehundred-and-six
107,onehundred-and-seven
108,onehundred-and-eight
109,onehundred-and-nine
110,onehundred-and-ten
111,onehundred-and-eleven
112,onehundred-and-twelve
113,onehundred-and-thir-teen
114,onehundred-and-four-teen
115,onehundred-and-fif-teen
116,onehundred-and-six-teen
117,onehundred-and-seven-teen
118,onehundred-and-eigh-teen
119,onehundred-and-nine-teen
120,onehundred-and-twenty
121,onehundred-and-twenty-one
122,onehundred-and-twenty-two
123,onehundred-and-twenty-three
124,onehundred-and-twenty-four
125,onehundred-and-twenty-five
126,onehundred-and-twenty-six
127,onehundred-and-twenty-seven
128,onehundred-and-twenty-eight
129,onehundred-and-twenty-nine
130,onehundred-and-thirty
131,onehundred-and-thirty-one
132,onehundred-and-thirty-two
133,onehundred-and-thirty-three
134,onehundred-and-thirty-four
135,onehundred-and-thirty-five
136,onehundred-and-thirty-six
137,onehundred-and-thirty-seven
138,onehundred-and-thirty-eight
139,onehundred-and-thirty-nine
140,onehundred-and-forty
141,onehundred-and-forty-one
142,onehundred-and-forty-two
143,onehundred-and-forty-three
144,onehundred-and-forty-four
145,onehundred-and-forty-five
146,onehundred-and-forty-six
147,onehundred-and-forty-seven
148,onehundred-and-forty-eight
149,onehundred-and-forty-nine
150,onehundred-and-fifty
151,onehundred-and-fifty-one
152,onehundred-and-fifty-two
153,onehundred-and-fifty-three
154,onehundred-and-fifty-four
155,onehundred-and-fifty-five
156,onehundred-and-fifty-six
157,onehundred-and-fifty-seven
158,onehundred-and-fifty-eight
159,onehundred-and-fifty-nine
160,onehundred-and-sixty
161,onehundred-and-sixty-one
162,onehundred-and-sixty-two
163,onehundred-and-sixty-three
164,onehundred-and-sixty-four
165,onehundred-and-sixty-five
166,onehundred-and-sixty-six
167,onehundred-and-sixty-seven
168,onehundred-and-sixty-eight
169,onehundred-and-sixty-nine
170,onehundred-and-seventy
171,onehundred-and-seventy-one
172,onehundred-and-seventy-two
173,onehundred-and-seventy-three
174,onehundred-and-seventy-four
175,onehundred-and-seventy-five
176,onehundred-and-seventy-six
177,onehundred-and-seventy-seven
178,onehundred-and-seventy-eight
179,onehundred-and-seventy-nine
180,onehundred-and-eighty
181,onehundred-and-eighty-one
182,onehundred-and-eighty-two
183,onehundred-and-eighty-three
184,onehundred-and-eighty-four
185,onehundred-and-eighty-five
186,onehundred-and-eighty-six
187,onehundred-and-eighty-seven
188,onehundred-and-eighty-eight
189,onehundred-and-eighty-nine
190,onehundred-and-ninety
191,onehundred-and-ninety-one
192,onehundred-and-ninety-two
193,onehundred-and-ninety-three
194,onehundred-and-ninety-four
195,onehundred-and-ninety-five
196,onehundred-and-ninety-six
197,onehundred-and-ninety-seven
198,onehundred-and-ninety-eight
199,onehundred-and-ninety-nine
200,twohundred
201,twohundred-and-one
202,twohundred-and-two
203,twohundred-and-three
204,twohundred-and-four
205,twohundred-and-five
206,twohundred-and-six
207,twohundred-and-seven
208,twohundred-and-eight
209,twohundred-and-nine
210,twohundred-and-ten
211,twohundred-and-eleven
212,twohundred-and-twelve
213,twohundred-and-thir-teen
214,twohundred-and-four-teen
215,twohundred-and-fif-teen
216,twohundred-and-six-teen
217,twohundred-and-seven-teen
218,twohundred-and-eigh-teen
219,twohundred-and-nine-teen
220,twohundred-and-twenty
221,twohundred-and-twenty-one
222,twohundred-and-twenty-two
223,twohundred-and-twenty-three
224,twohundred-and-twenty-four
225,twohundred-and-twenty-five
226,twohundred-and-twenty-six
227,twohundred-and-twenty-seven
228,twohundred-and-twenty-eight
229,twohundred-and-twenty-nine
230,twohundred-and-thirty
231,twohundred-and-thirty-one
232,twohundred-and-thirty-two
233,twohundred-and-thirty-three
