Number,Reading
0,〇
1,一
2,二
3,三
4,四
5,五
6,六
7,七
8,八
9,九
10,十
11,十一
12,十二
13,十三
14,十四
15,十五
16,十六
17,十七
18,十八
19,十九
20,二十
21,二 十一
22,二 十二
23,二 十三
24,二 十四
25,二 十五
26,二 十六
27,二 十七
28,二 十八
29,二 十九
30,三十
31,三 十一
32,三 十二
33,三 十三
34,三 十四
35,三 十五
36,三 十六
37,三 十七
38,三 十八
39,三 十九
40,四十
41,四 十一
42,四 十二
43,四 十三
44,四 十四
45,四 十五
46,四 十六
47,四 十七
48,四 十八
49,四 十九
50,五十
51,五 十一
52,五 十二
53,五 十三
54,五 十四
55,五 十五
56,五 十六
57,五 十七
58,五 十八
59,五 十九
60,六十
61,六 十一
62,六 十二
63,六 十三
64,六 十四
65,六 十五
66,六 十六
67,六 十七
68,六 十八
69,六 十九
70,七十
71,七 十一
72,七 十二
73,七 十三
74,七 十四
75,七 十五
76,七 十六
77,七 十七
78,七 十八
79,七 十九
80,八十
81,八 十一
82,八 十二
83,八 十三
84,八 十四
85,八 十五
86,八 十六
87,八 十七
88,八 十八
89,八 十九
90,九十
91,九 十一
92,九 十二
93,九 十三
94,九 十四
95,九 十五
96,九 十六
97,九 十七
98,九 十八
99,九 十九
100,一百
