Number,Reading,Meaning
0,,0
1,eins,1*
2,zwei,2
3,drei,3
4,vier,4
5,fünf,5
6,sechs,6
7,sieben,7
8,acht,8
9,neun,9
10,zehn,10
11,elf,11
12,zwölf,12
13,dreizehn,3 + 10
14,vierzehn,4 + 10
15,fünfzehn,5 + 10
16,sechzehn,6* + 10
17,siebzehn,7* + 10
18,achtzehn,8 + 10
19,neunzehn,9 + 10
20,zwanzig,2* ?? 10?€?
21,einundzwanzig,1 and 2* ?? 10?€?
22,zweiundzwanzig,2 and 2* ?? 10?€?
23,dreiundzwanzig,3 and 2* ?? 10?€?
24,vierundzwanzig,4 and 2* ?? 10?€?
25,fünfundzwanzig,5 and 2* ?? 10?€?
26,sechsundzwanzig,6 and 2* ?? 10?€?
27,siebenundzwanzig,7 and 2* ?? 10?€?
28,achtundzwanzig,8 and 2* ?? 10?€?
29,neunundzwanzig,9 and 2* ?? 10?€?
30,dreißig,3 ?? 10?€?
31,einunddreißig,1 and 3 ?? 10?€?
32,zweiunddreißig,2 and 3 ?? 10?€?
33,dreiunddreißig,3 and 3 ?? 10?€?
34,vierunddreißig,4 and 3 ?? 10?€?
35,fünfunddreißig,5 and 3 ?? 10?€?
36,sechsunddreißig,6 and 3 ?? 10?€?
37,siebenunddreißig,7 and 3 ?? 10?€?
38,achtunddreißig,8 and 3 ?? 10?€?
39,neununddreißig,9 and 3 ?? 10?€?
40,vierzig,4 ?? 10?€?
41,einundvierzig,1 and 4 ?? 10?€?
42,zweiundvierzig,2 and 4 ?? 10?€?
43,dreiundvierzig,3 and 4 ?? 10?€?
44,vierundvierzig,4 and 4 ?? 10?€?
45,fünfundvierzig,5 and 4 ?? 10?€?
46,sechsundvierzig,6 and 4 ?? 10?€?
47,siebenundvierzig,7 and 4 ?? 10?€?
48,achtundvierzig,8 and 4 ?? 10?€?
49,neunundvierzig,9 and 4 ?? 10?€?
50,fünfzig,5 ?? 10?€?
51,einundfünfzig,1 and 5 ?? 10?€?
52,zweiundfünfzig,2 and 5 ?? 10?€?
53,dreiundfünfzig,3 and 5 ?? 10?€?
54,vierundfünfzig,4 and 5 ?? 10?€?
55,fünfundfünfzig,5 and 5 ?? 10?€?
56,sechsundfünfzig,6 and 5 ?? 10?€?
57,siebenundfünfzig,7 and 5 ?? 10?€?
58,achtundfünfzig,8 and 5 ?? 10?€?
59,neunundfünfzig,9 and 5 ?? 10?€?
60,sechzig,6* ?? 10?€?
61,einundsechzig,1 and 6* ?? 10?€?
62,zweiundsechzig,2 and 6* ?? 10?€?
63,dreiundsechzig,3 and 6* ?? 10?€?
64,vierundsechzig,4 and 6* ?? 10?€?
65,fünfundsechzig,5 and 6* ?? 10?€?
66,sechsundsechzig,6 and 6* ?? 10?€?
67,siebenundsechzig,7 and 6* ?? 10?€?
68,achtundsechzig,8 and 6* ?? 10?€?
69,neunundsechzig,9 and 6* ?? 10?€?
70,siebzig,7* ?? 10?€?
71,einundsiebzig,1 and 7* ?? 10?€?
72,zweiundsiebzig,2 and 7* ?? 10?€?
73,dreiundsiebzig,3 and 7* ?? 10?€?
74,vierundsiebzig,4 and 7* ?? 10?€?
75,fünfundsiebzig,5 and 7* ?? 10?€?
76,sechsundsiebzig,6 and 7* ?? 10?€?
77,siebenundsiebzig,7 and 7* ?? 10?€?
78,achtundsiebzig,8 and 7* ?? 10?€?
79,neunundsiebzig,9 and 7* ?? 10?€?
80,achtzig,8 ?? 10?€?
81,einundachtzig,1 and 8 ?? 10?€?
82,zweiundachtzig,2 and 8 ?? 10?€?
83,dreiundachtzig,3 and 8 ?? 10?€?
84,vierundachtzig,4 and 8 ?? 10?€?
85,fünfundachtzig,5 and 8 ?? 10?€?
86,sechsundachtzig,6 and 8 ?? 10?€?
87,siebenundachtzig,7 and 8 ?? 10?€?
88,achtundachtzig,8 and 8 ?? 10?€?
89,neunundachtzig,9 and 8 ?? 10?€?
90,neunzig,9 ?? 10?€?
91,einundneunzig,1 and 9 ?? 10?€?
92,zweiundneunzig,2 and 9 ?? 10?€?
93,dreiundneunzig,3 and 9 ?? 10?€?
94,vierundneunzig,4 and 9 ?? 10?€?
95,fünfundneunzig,5 and 9 ?? 10?€?
96,sechsundneunzig,6 and 9 ?? 10?€?
97,siebenundneunzig,7 and 9 ?? 10?€?
98,achtundneunzig,8 and 9 ?? 10?€?
99,neunundneunzig,9 and 9 ?? 10?€?
100,hundert,100
