Number,Reading
1,uno
2,due
3,tre
4,quattro
5,cinque
6,sei
7,sette
8,otto
9,nove
10,dieci
11,un-dici
12,do-dici
13,tre-dici
14,quattor-dici
15,quin-dici
16,se-dici
17,dicia-sette
18,dici-otto
19,dicia-nove
20,venti
21,vent-uno
22,venti-due
23,venti-tre
24,venti-quattro
25,venti-cinque
26,venti-sei
27,venti-sette
28,vent-otto
29,venti-nove
30,trenta
31,trent-uno
32,trenta-due
33,trenta-tre
34,trenta-quattro
35,trenta-cinque
36,trenta-sei
37,trenta-sette
38,trent-otto
39,trenta-nove
40,quaranta
41,quarant-uno
42,quaranta-due
43,quaranta-tre
44,quaranta-quattro
45,quaranta-cinque
46,quaranta-sei
47,quaranta-sette
48,quarant-otto
49,quaranta-nove
50,cinquanta
51,cinquant-uno
52,cinquanta-due
53,cinquanta-tre
54,cinquanta-quattro
55,cinquanta-cinque
56,cinquanta-sei
57,cinquanta-sette
58,cinquant-otto
59,cinquanta-nove
60,sessanta
61,sessant-uno
62,sessanta-due
63,sessanta-tre
64,sessanta-quattro
65,sessanta-cinque
66,sessanta-sei
67,sessanta-sette
68,sessant-otto
69,sessanta-nove
70,settanta
71,settant-uno
72,settanta-due
73,settanta-tre
74,settanta-quattro
75,settanta-cinque
76,settanta-sei
77,settanta-sette
78,settant-otto
79,settanta-nove
80,ottanta
81,ottant-uno
82,ottanta-due
83,ottanta-tre
84,ottanta-quattro
85,ottanta-cinque
86,ottanta-sei
87,ottanta-sette
88,ottant-otto
89,ottanta-nove
90,novanta
91,novant-uno
92,novanta-due
93,novanta-tre
94,novanta-quattro
95,novanta-cinque
96,novanta-sei
97,novanta-sette
98,novant-otto
99,novanta-nove
100,cento
